id,cnnaff,Smiles
15352,-4.68225,[H]OC(=O)C([H])([H])C([H])([H])[C@@]([H])(C([H])([H])C([H])([H])[H])[C@]([H])(N([H])C(=O)c1c([H])c([H])c([H])n([H])c1=O)N1C([H])([H])C([H])([H])C([H])(n2c(C([H])(C(O[H])(C([H])([H])[H])C([H])([H])[H])C(O[H])(C([H])([H])[H])C([H])([H])[H])nc([H])c2[H])C([H])([H])C1([H])[H]
15353,-4.68171,[H]c1c(SN([H])C(=O)OC([H])([H])C([H])([H])O[C@@]([H])(OC([H])([H])C([H])([H])F)C(F)(F)F)c([H])c(=O)n([H])c1[H]
15354,-4.68112,[H]c1c(N2C([H])([H])C([H])([H])N(C(=O)C([H])([H])N([H])C(=O)N([H])C3([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C3([H])[H])C([H])([H])C2([H])[H])c([H])c(=O)n([H])c1[H]
15355,-4.68112,[H]c1c([H])c([H])n([H])c(=O)c1[C@](C([H])([H])[H])(C([H])(F)F)[C@@]([H])(O[C@@]([H])(C([H])([H])C([H])([H])N([H])[H])C([H])([H])C([H])([H])N1C([H])([H])C([H])([H])OC([H])([H])C1([H])[H])C([H])([H])[H]
15356,-4.67806,[H]ON([H])C(=O)C([H])=C([H])c1c(C(=O)N([H])C([H])([H])[C@@]([H])(S[H])c2c([H])c([H])c(C(=O)N3C([H])([H])C([H])([H])N(C([H])([H])[H])[C@@]([H])(O[H])C3([H])[H])c([H])c2[H])c([H])c(=O)n([H])c1[H]
15357,-4.67774,[H]O[C@]([H])(c1c([H])c([H])c([H])c([H])c1[H])n1c([H])c([H])c([H])c([C@@]([H])(C([H])([H])N([H])C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])ON2C([H])([H])C([H])([H])OC([H])([H])C2([H])[H])c1=O
15358,-4.67756,[H]OC([H])([H])C([H])([H])O[C@@]1([H])C([H])([H])C([H])([H])C([H])([H])[C@@]1([H])C([H])([H])C([H])([H])[C@@]([H])(c1c([H])c([H])c([H])n([H])c1=O)C([H])([H])[H]
15359,-4.67696,[H]OC([H])([H])[C@]([H])(c1c([H])c([H])c([H])n1[H])[C@@]([H])(N(OC([H])([H])C#N)C(=O)C([H])=C([H])c1c([H])c([H])c(=O)n([H])c1[H])C([H])([H])Cl
15360,-4.6762,[H]C#Cc1c([H])c(SC([H])([H])C(=O)OC([H])([H])C([H])([H])C([H])([H])c2c([H])c([H])c([H])c([H])c2[H])c([H])c(=O)n1[H]
15361,-4.67601,[H]Oc1c([H])c(O[H])c([H])c(C([H])([H])[C@@]([H])(N([H])[C@]2([H])N(c3c([H])c([H])n(-c4sc([H])c([H])c4[H])c(=O)c3[H])C([H])([H])C([H])([H])OC2([H])[H])C([H])([H])[H])c1[H]
15362,-4.67503,[H]O[C@]([H])(C([H])([H])[H])[C@@]([H])(c1c(C([H])([H])N2C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])C2([H])[H])c(C([H])([H])C(=O)N([H])C([H])([H])[H])c([H])n([H])c1=O)C([H])([H])[H]
15363,-4.67138,[H]O[C@]1([H])C([H])([H])N(C([H])([H])C([H])([H])N(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])c2c([H])c([H])n(-c3c([H])oc([H])c3[H])c(=O)c2[H])C([H])([H])C1([H])[H]
15364,-4.67037,[H]Sc1c(N([H])C(=O)c2c([H])c([H])c(OC([H])([H])C([H])([H])S[H])c([H])c2[H])c([H])n([H])c(=O)c1C(=O)N([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])C([H])([H])[H]
15365,-4.66961,[H]OC([H])([H])[C@]([H])(OSc1c([H])c([H])n([H])c(=O)c1C(=O)N([H])N([H])[H])C([H])([H])N([H])C(=O)c1c([H])c([H])c([H])c([H])c1[H]
15366,-4.66889,[H]c1oc(OC(=O)C([H])([H])[H])c(-n2c([H])c([H])c([H])c(C([H])([H])C(=O)OC([H])([H])[H])c2=O)c1[H]
15367,-4.66551,[H]OC([H])([H])C([H])([H])C1(c2c([H])c(N3C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])C3([H])[H])c([H])n([H])c2=O)C([H])([H])C1([H])[H]
15368,-4.66503,[H]OC([H])([H])C([H])([H])OSc1c([H])c([H])n([C@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H])c(=O)c1C(=O)N([H])N([H])[H]
15369,-4.66301,[H]c1c([H])c(C([H])([H])C([H])([H])N([H])[H])n(C(=O)N([H])[C@@]2([H])C([H])([H])C([H])([H])C([H])([H])[C@]2([H])C(=O)C([H])([H])[H])c(=O)c1[H]
15370,-4.6594,[H]c1c(N2C([H])([H])C([H])([H])OC([H])([H])[C@@]2([H])C([H])([H])[C@@]([H])(OC([H])([H])[H])N([H])C([H])([H])C([H])([H])N([H])[H])c([H])c(=O)n(C(=O)N(C([H])([H])[H])C([H])([H])[H])c1[H]
15371,-4.65681,[H]OC([H])([H])[C@]([H])(c1c([H])nnc([H])c1[H])C([H])([H])N(OC([H])([H])C#N)C(=O)C([H])=C([H])c1c([H])c([H])c(=O)n([H])c1[H]
15372,-4.65549,[H]O[C@]([H])(C([H])([H])C([H])([H])N([H])[H])[C@@]([H])(c1c(C(=O)c2sc([H])c([H])c2[H])c([H])c([H])n([H])c1=O)C([H])([H])[H]
15373,-4.6554,[H]c1nc([H])c([C@]([H])(N([H])C(=O)c2c([H])c([H])c(=O)n([H])c2[H])C([H])([H])C#N)c([H])n1
15374,-4.65515,[H]c1oc([H])c(-n2c([H])c([H])c(OC([H])([H])[C@@]([H])(OC(=O)C([H])([H])N([H])C([H])([H])C([H])([H])[H])N3C([H])([H])C([H])([H])O[C@]([H])(F)C3([H])[H])c([H])c2=O)c1[H]
15375,-4.6539,[H]OC(=O)c1c([C@]([H])(c2c([H])c([H])c([H])c(=O)n2N2C([H])([H])C([H])([H])N([H])C([H])([H])C2([H])[H])N([H])C2([H])C([H])([H])C2([H])[H])c(C([H])([H])[H])nn1[H]
15376,-4.65378,[H]ON([H])C(=O)C([H])=C([H])c1c([H])c(C([H])([H])C(=O)N(O[H])OC([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])[H])c(=O)n([H])c1[H]
15377,-4.65328,[H]O[C@]([H])(C([H])([H])C([H])([H])N([H])[H])[C@@]([H])(c1c([H])c(C(=NN([H])C(=S)N([H])[H])C([H])([H])[H])c([H])n([H])c1=O)C([H])([H])[H]
15378,-4.65182,[H]c1c([H])c([H])n([H])c(=O)c1[C@@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])[C@@]1([H])C([H])([H])[C@]1([H])C([H])([H])N([H])C([H])([H])C([H])([H])N([H])C(=O)C([H])([H])C([H])([H])C([H])([H])[H]
15379,-4.64969,[H]c1c([H])c([H])n([H])c(=O)c1C(=O)N([H])[C@]([H])(N1C([H])([H])C([H])([H])C([H])(C([H])(F)F)C([H])([H])C1([H])[H])C([H])([H])C([H])([H])C([H])([H])[H]
